"Query","Match","HMDB","PubChem","KEGG","Comment"
"nonadecanoate (19:0)","NA","NA","NA","NA","0"
"O-sulfo-L-tyrosine","NA","NA","NA","NA","0"
"octanoylcarnitine","L-Octanoylcarnitine","HMDB00791","11953814","C02838","1"
"oleamide","Oleamide","HMDB02117","5283387","C19670","1"
"oleate/vaccenate (18:1)","NA","NA","NA","NA","0"
"oleoyl ethanolamide","NA","NA","NA","NA","0"
"oleoylcarnitine","Oleoylcarnitine","HMDB05065","53477789","","1"
"ornithine","Ornithine","HMDB00214","6262","C00077","1"
"orotate","Orotic acid","HMDB00226","967","C00295","1"
"orotidine","Orotidine","HMDB00788","92751","C01103","1"
"oxalate (ethanedioate)","NA","NA","NA","NA","0"
"p-cresol sulfate","p-Cresol sulfate","HMDB11635","4615423","","1"
"p-cresol-glucuronide*","NA","NA","NA","NA","0"
"palmitate (16:0)","NA","NA","NA","NA","0"
"palmitoleate (16:1n7)","NA","NA","NA","NA","0"
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*","NA","NA","NA","NA","0"
"palmitoyl ethanolamide","Palmitoylethanolamide","HMDB02100","4671","C16512","1"
"palmitoyl sphingomyelin (d18:1/16:0)","NA","NA","NA","NA","0"
"palmitoylcarnitine","NA","NA","NA","NA","0"
"pantothenate","Pantothenic acid","HMDB00210","988","C00864","1"
"phenol sulfate","NA","NA","NA","NA","0"
"phenylacetylglycine","Phenylacetylglycine","HMDB00821","68144","C05598","1"
"phenylalanine","L-Phenylalanine","HMDB00159","6140","C00079","1"
"phenylalanylglycine","NA","NA","NA","NA","0"
"phenyllactate (PLA)","NA","NA","NA","NA","0"
"phosphate","Phosphate","HMDB01429","1061","C00009","1"
"phosphoenolpyruvate (PEP)","NA","NA","NA","NA","0"
