external_gene_name	log2FoldChange.HFVeh_vs_NormVeh	padj.HFVeh_vs_NormVeh
Nisch	0.629131576541148	0.0487751674955995
Nek4	1.32066594114867	0.0477116438609959
Ebpl	-1.38130235458592	0.0028070616232282
Spryd7	-0.993723865796397	0.0258673035343195
Micu2	-0.87403923896264	0.00687837790898434
Scara5	1.27827684023059	3.34264950295472e-05
Bnip3l	-1.1675924701589	0.000501724874508782
Slc39a14	0.957437030302763	0.00142737907775083
Dct	-1.58889357519848	0.0496639421063178
Ajuba	-1.00418670930352	0.043130823994735
Acin1	0.827725611231584	0.0411562102405198
Pabpn1	1.12689738456245	0.0154301029675157
Psme1	-0.951864895886986	0.0171741540429431
Ankrd33b	1.11596988094328	0.00871939227083419
Pabpc1	0.962589668651394	0.0307930325296561
Dpys	0.860593699219944	0.00290427463479652
Hrsp12	-1.17056905639827	0.000225848288434642
Ndufb9	-0.943305036706915	0.0345333194628318
Ppara	1.26348817331578	0.00103152587414455
Ttll8	1.89949788655864	0.005701614787911
Tomm22	-1.10372231482526	0.0045406771375245
Myh9	0.775646394468528	0.0285978725813189
Oplah	0.978227419343229	0.000777033850698531
Tymp	1.44509211842836	0.00060385261885614
Shank3	1.15447918146573	0.0235212549238962
Cpox	0.631015617029522	0.0146555104478862
Tomm70a	-0.731505347004204	0.0251587901663375
Thap7	-0.806311901185315	0.0379350489135424
Mylk	0.949049146604554	0.025849661057411
Dopey2	1.25964372439168	0.00015318419097089
Paxbp1	1.2220570610023	0.0364387858542615
Tuba1b	-1.72688275063741	1.14618946561957e-05
Csad	-2.06505297312084	1.07245253394605e-12
Cdkn1a	1.84819843432778	0.0125535011556021
Ccrn4l	0.954180559976942	0.0102336913860779
Msrb2	-0.771416885750963	0.0405674655252597
Cpn2	0.624768446947623	0.0204855986260161
Kcnk5	0.910445299905275	0.0242553534283241
Acat2	-1.07120045604004	0.00591698678158226
Lpin2	1.02094938957544	0.000269352758999301
Abca3	0.821703233304664	0.00913671482011269
Cript	-1.04412187600228	0.0218704561948488
Anks1	1.10355529168409	0.00412979507344975
Fkbp5	0.817750651392921	0.0366490687648337
Pkdcc	-0.848831324272403	0.0296134923447917
Cox7a2l	-0.83492954675034	0.0487751674955995
Cdh2	1.37359134198399	0.000262694494228367
Brd2	0.803587476304047	0.0141125871838577
Slc23a1	0.602206014079412	0.0395872716117128
Bag6	0.891338592756439	0.0103768683690713
Prrc2a	1.18149926994246	0.00252056267130155
Mrpl27	-1.12076682365296	0.0253951211742357
Spry4	2.10454074422489	1.40214653536758e-05
Cxxc1	0.674119971966881	0.047264592930377
Mbd1	0.779576181311332	0.029940489844311
Txnl1	-0.981646970688543	0.00765222325403186
Gna14	2.91213646170392	2.11883034037098e-09
Aldh1a7	-0.8934186223527	0.010709920530522
Tm7sf2	-0.884987823329387	0.0218580528773679
Banf1	-0.91774311363434	0.00267298267182173
Mbl2	-0.797725107700749	0.037290928478903
Cpt1a	0.812375305501039	0.0153694431997063
Lrp5	1.29046499007154	0.00142737907775083
Smarca2	0.926816801536477	0.00926919837609771
Vegfb	-1.04293593407962	0.0103768683690713
Gpam	0.936170156865009	0.0328699205744978
Hhex	-1.15590979253567	0.0268103272252829
Fam45a	-1.01311371416412	0.0281436099027783
Prdx3	-0.652914664753226	0.044936682747958
Plce1	0.927699634375276	0.02601796822652
Cyp2c55	-2.77644128708278	4.81387093296956e-06
Sorbs1	1.33242202253079	0.00984423376589859
Pik3ap1	1.26441325867912	0.00228730377336801
Gsto1	-0.731695313543128	0.0411398460302338
Stra13	-1.27048429407708	0.00632354107396691
Dnmbp	1.59681019786261	0.000119767771689015
Mrpl43	-0.742807086396502	0.0472831617902724
Tsr2	-1.07850364631159	0.0251587901663375
Kdm5c	0.649265852961524	0.0485296443279328
